id_usuario,data,quantidade
2041925969376769,2013-10-01,28
2041925969376769,2013-11-01,25
2041925969376769,2013-12-01,22
2041925969376769,2014-01-01,41
2041925969376769,2014-02-01,21
2041925969376769,2014-03-01,18
2041925969376769,2014-04-01,22
2041925969376769,2014-05-01,28
2041925969376769,2014-06-01,24
2041925969376769,2014-07-01,68
2041925969376769,2014-08-01,28
2041925969376769,2014-09-01,37
2041925969376769,2014-10-01,64
2041925969376769,2014-11-01,29
2041925969376769,2014-12-01,59
2041925969376769,2015-01-01,8
2041925969376769,2015-03-01,13
2041925969376769,2015-04-01,41
2041925969376769,2015-05-01,76
2041925969376769,2015-06-01,320
2041925969376769,2015-07-01,126
2041925969376769,2015-08-01,116
2041925969376769,2015-09-01,66
2041925969376769,2015-10-01,37
2041925969376769,2015-11-01,22
2041925969376769,2015-12-01,18
2041925969376769,2016-01-01,16
2041925969376769,2016-02-01,3
2041925969376769,2016-03-01,4
2041925969376769,2016-04-01,4
2041925969376769,2016-05-01,4
2041925969376769,2016-06-01,5
2041925969376769,2016-07-01,15
2041925969376769,2016-08-01,14
2041925969376769,2016-09-01,9
2041925969376769,2016-10-01,2
2041925969376769,2016-11-01,84
2041925969376769,2016-12-01,186
2041925969376769,2017-01-01,114
2041925969376769,2017-02-01,109
2041925969376769,2017-03-01,143
2041925969376769,2017-04-01,104
2041925969376769,2017-05-01,89
2041925969376769,2017-06-01,76
2041925969376769,2017-07-01,103
2041925969376769,2017-08-01,47
2041925969376769,2017-09-01,66
2041925969376769,2017-10-01,41
2041925969376769,2017-11-01,127
2041925969376769,2017-12-01,206
