id_usuario,data,quantidade
741580989385892,2013-02-01,1
741580989385892,2013-05-01,4
741580989385892,2013-06-01,43
741580989385892,2013-07-01,26
741580989385892,2013-08-01,82
741580989385892,2013-09-01,57
741580989385892,2013-10-01,57
741580989385892,2013-11-01,79
741580989385892,2013-12-01,119
741580989385892,2014-01-01,50
741580989385892,2014-02-01,32
741580989385892,2014-03-01,30
741580989385892,2014-04-01,60
741580989385892,2014-05-01,108
741580989385892,2014-06-01,71
741580989385892,2014-07-01,43
741580989385892,2014-08-01,8
741580989385892,2014-09-01,8
741580989385892,2014-10-01,30
741580989385892,2014-11-01,23
741580989385892,2014-12-01,26
741580989385892,2015-01-01,21
741580989385892,2015-02-01,7
741580989385892,2015-03-01,13
741580989385892,2015-04-01,8
741580989385892,2015-05-01,37
741580989385892,2015-06-01,41
741580989385892,2015-07-01,15
741580989385892,2015-08-01,26
741580989385892,2015-09-01,20
741580989385892,2015-10-01,11
741580989385892,2015-11-01,8
741580989385892,2015-12-01,9
741580989385892,2016-01-01,10
741580989385892,2016-02-01,6
741580989385892,2016-03-01,11
741580989385892,2016-04-01,12
741580989385892,2016-05-01,42
741580989385892,2016-06-01,19
741580989385892,2016-07-01,15
741580989385892,2016-08-01,10
741580989385892,2016-09-01,17
741580989385892,2016-10-01,25
741580989385892,2016-11-01,100
741580989385892,2016-12-01,67
741580989385892,2017-01-01,231
741580989385892,2017-02-01,131
741580989385892,2017-03-01,51
741580989385892,2017-04-01,55
741580989385892,2017-05-01,27
741580989385892,2017-06-01,25
741580989385892,2017-07-01,17
741580989385892,2017-08-01,16
741580989385892,2017-09-01,23
741580989385892,2017-10-01,8
741580989385892,2017-11-01,9
