id_usuario,data,quantidade
2069736153313031,2014-05-01,7
2069736153313031,2014-06-01,2
2069736153313031,2014-07-01,5
2069736153313031,2014-08-01,4
2069736153313031,2014-09-01,4
2069736153313031,2014-10-01,48
2069736153313031,2014-11-01,20
2069736153313031,2014-12-01,25
2069736153313031,2015-01-01,70
2069736153313031,2015-02-01,74
2069736153313031,2015-03-01,10
2069736153313031,2015-07-01,53
2069736153313031,2015-08-01,82
2069736153313031,2015-09-01,32
2069736153313031,2015-10-01,58
2069736153313031,2015-11-01,26
2069736153313031,2015-12-01,17
2069736153313031,2016-01-01,9
2069736153313031,2016-02-01,54
2069736153313031,2016-03-01,56
2069736153313031,2016-04-01,66
2069736153313031,2016-05-01,38
2069736153313031,2016-06-01,61
2069736153313031,2016-07-01,26
2069736153313031,2016-08-01,34
2069736153313031,2016-09-01,100
2069736153313031,2016-10-01,83
2069736153313031,2016-11-01,130
2069736153313031,2016-12-01,61
2069736153313031,2017-01-01,15
2069736153313031,2017-02-01,49
2069736153313031,2017-03-01,20
2069736153313031,2017-04-01,43
2069736153313031,2017-05-01,73
2069736153313031,2017-06-01,69
2069736153313031,2017-07-01,70
2069736153313031,2017-08-01,91
2069736153313031,2017-09-01,125
2069736153313031,2017-10-01,115
2069736153313031,2017-11-01,50
