id_usuario,data,quantidade
815098648696899,2013-05-01,1
815098648696899,2013-06-01,9
815098648696899,2013-08-01,3
815098648696899,2013-09-01,11
815098648696899,2013-10-01,11
815098648696899,2013-11-01,42
815098648696899,2013-12-01,24
815098648696899,2014-01-01,8
815098648696899,2014-02-01,7
815098648696899,2014-03-01,10
815098648696899,2014-04-01,5
815098648696899,2014-05-01,13
815098648696899,2014-06-01,4
815098648696899,2014-07-01,1
815098648696899,2014-08-01,5
815098648696899,2014-09-01,2
815098648696899,2014-10-01,2
815098648696899,2014-11-01,1
815098648696899,2014-12-01,1
815098648696899,2015-01-01,5
815098648696899,2015-02-01,1
815098648696899,2015-03-01,15
815098648696899,2015-04-01,7
815098648696899,2015-05-01,7
815098648696899,2015-06-01,10
815098648696899,2015-07-01,25
815098648696899,2015-08-01,48
815098648696899,2015-09-01,31
815098648696899,2015-10-01,42
815098648696899,2015-11-01,11
815098648696899,2015-12-01,8
815098648696899,2016-01-01,4
815098648696899,2016-02-01,5
815098648696899,2016-03-01,18
815098648696899,2016-04-01,39
815098648696899,2016-05-01,19
815098648696899,2016-06-01,6
815098648696899,2016-07-01,18
815098648696899,2016-08-01,19
815098648696899,2016-09-01,16
815098648696899,2016-10-01,21
815098648696899,2016-11-01,12
815098648696899,2016-12-01,22
815098648696899,2017-01-01,24
815098648696899,2017-02-01,54
815098648696899,2017-03-01,130
815098648696899,2017-04-01,60
815098648696899,2017-05-01,55
815098648696899,2017-06-01,179
815098648696899,2017-07-01,23
815098648696899,2017-08-01,11
815098648696899,2017-09-01,24
815098648696899,2017-10-01,10
815098648696899,2017-11-01,15
