id_usuario,data,quantidade
1385319051580320,2008-01-01,1
1385319051580320,2011-10-01,7
1385319051580320,2011-12-01,6
1385319051580320,2012-01-01,56
1385319051580320,2012-02-01,26
1385319051580320,2012-03-01,1
1385319051580320,2012-06-01,1
1385319051580320,2012-07-01,2
1385319051580320,2012-08-01,7
1385319051580320,2012-09-01,3
1385319051580320,2012-10-01,7
1385319051580320,2012-11-01,15
1385319051580320,2012-12-01,43
1385319051580320,2013-01-01,23
1385319051580320,2013-02-01,4
1385319051580320,2013-03-01,1
1385319051580320,2013-06-01,3
1385319051580320,2013-07-01,17
1385319051580320,2013-08-01,47
1385319051580320,2013-09-01,7
1385319051580320,2013-10-01,16
1385319051580320,2013-11-01,13
1385319051580320,2013-12-01,16
1385319051580320,2014-01-01,14
1385319051580320,2014-02-01,20
1385319051580320,2014-03-01,6
1385319051580320,2014-04-01,4
1385319051580320,2014-05-01,7
1385319051580320,2014-06-01,8
1385319051580320,2014-07-01,18
1385319051580320,2014-08-01,13
1385319051580320,2014-09-01,11
1385319051580320,2014-10-01,9
1385319051580320,2014-11-01,8
1385319051580320,2014-12-01,9
1385319051580320,2015-01-01,20
1385319051580320,2015-02-01,59
1385319051580320,2015-03-01,42
1385319051580320,2015-04-01,3
1385319051580320,2015-05-01,7
1385319051580320,2015-06-01,6
1385319051580320,2015-08-01,24
1385319051580320,2015-09-01,10
1385319051580320,2015-10-01,8
1385319051580320,2015-11-01,33
1385319051580320,2015-12-01,18
1385319051580320,2016-01-01,5
1385319051580320,2016-02-01,20
1385319051580320,2016-03-01,15
1385319051580320,2016-04-01,24
1385319051580320,2016-05-01,25
1385319051580320,2016-06-01,39
1385319051580320,2016-07-01,34
1385319051580320,2016-08-01,71
1385319051580320,2016-09-01,43
1385319051580320,2016-10-01,31
1385319051580320,2016-11-01,11
1385319051580320,2016-12-01,69
1385319051580320,2017-01-01,103
1385319051580320,2017-02-01,54
1385319051580320,2017-03-01,49
1385319051580320,2017-04-01,24
1385319051580320,2017-05-01,41
1385319051580320,2017-06-01,18
1385319051580320,2017-07-01,38
1385319051580320,2017-08-01,10
1385319051580320,2017-09-01,15
1385319051580320,2017-10-01,27
1385319051580320,2017-11-01,28
1385319051580320,2017-12-01,8
