Palavra Procurada,Palavra Encontrada,Similaridade
TRAIDOR,traidor,100
MENTIRA,mentir,92
MORTE,morte,100
VIOLENTO,violet,86
SOFRIMENTO,sofrimento,100
CADÁVER,cadaver,86
CRIME,crime,100
RAIVA,raiva,100
RAIVA,raiva,100
RAIVA,raiva,100
MORTO,morto,100
MORTO,morto,100
DEMÔNIO,demonio,86
MEDO,medo,100
PROBLEMA,problema,100
PROBLEMA,problema,100
INSEGURO,seguro,86
CRISE,crise,100
INTROMETER,intrometer,100
ERRO,berro,89
ERRO,ferro,89
DIABO,diabo,100
BURRO,burro,100
CICATRIZ,cicatriz,100
PESAR,pesar,100
PESAR,pesar,100
PESAR,pesar,100
PESAR,pesar,100
ANSIOSO,ansioso,100
INSOSSO,minosso,86
