523889937966576,2015-10-01
575912899414794,2015-08-01
741112402763818,2013-05-01
741580989385892,2013-02-01
782831401895738,2012-03-01
815098648696899,2013-05-01
848813808619893,2012-11-01
855386091334664,2012-07-01
872507229580251,2012-11-01
872858692876290,2012-10-01
875705135940560,2013-01-01
884794121682326,2012-10-01
911841485656952,2013-04-01
928018567367487,2012-04-01
932900373523932,2012-07-01
938224233002226,2014-12-01
968408906650982,2009-12-01
997096307098438,2011-10-01
1022864967872047,2013-01-01
1033110380164779,2012-06-01
1044942355647418,2012-06-01
1105432349559329,2012-05-01
1170510339747390,2012-04-01
1211223432346372,2012-05-01
1232495143519028,2011-09-01
1257481127685383,2012-05-01
1385319051580320,2008-01-01
1401426946632559,2011-09-01
1457411227699416,2011-09-01
1458695270914220,2007-06-01
1466776020086339,2010-01-01
1474155432682501,2012-05-01
1486146538167125,2011-12-01
1486348074805772,2011-10-01
1490358514390143,2011-05-01
1492157617538982,2011-05-01
1502169689831039,2011-12-01
1502378776518622,2011-06-01
1502634726523802,2011-10-01
1505262262895441,2011-04-01
1528261897239795,2011-03-01
1540802029367418,2011-11-01
1587210241335648,2010-08-01
1592776377455709,2011-01-01
1651450664917734,2011-01-01
1768327656531278,2010-06-01
1791295990903518,2010-06-01
1796067243760886,2012-05-01
1870214326566563,2013-12-01
1942377509357721,2011-05-01
1943778079216175,2013-09-01
1946002089051904,2011-12-01
1976561949250115,2013-10-01
1977069062531207,2012-03-01
1977291202559840,2014-05-01
2000049206898919,2013-12-01
2004875956427590,2013-11-01
2012280462346031,2014-06-01
2023637511215863,2013-11-01
2041925969376769,2013-10-01
2069736153313031,2014-05-01
2094876800735382,2013-05-01
2414528602105480,2013-08-01
10214421550670970,2010-12-01
