id_usuario,data,quantidade
1257481127685383,2012-05-01,4
1257481127685383,2012-06-01,48
1257481127685383,2012-07-01,33
1257481127685383,2012-08-01,32
1257481127685383,2012-09-01,63
1257481127685383,2012-10-01,148
1257481127685383,2012-11-01,38
1257481127685383,2012-12-01,17
1257481127685383,2013-01-01,2
1257481127685383,2013-02-01,2
1257481127685383,2013-03-01,2
1257481127685383,2013-05-01,15
1257481127685383,2013-06-01,197
1257481127685383,2013-07-01,46
1257481127685383,2013-08-01,113
1257481127685383,2013-09-01,163
1257481127685383,2013-10-01,80
1257481127685383,2013-11-01,112
1257481127685383,2013-12-01,128
1257481127685383,2014-01-01,108
1257481127685383,2014-02-01,110
1257481127685383,2014-03-01,111
1257481127685383,2014-04-01,103
1257481127685383,2014-05-01,107
1257481127685383,2014-06-01,64
1257481127685383,2014-07-01,62
1257481127685383,2014-08-01,34
1257481127685383,2014-09-01,19
1257481127685383,2014-10-01,27
1257481127685383,2014-11-01,32
1257481127685383,2014-12-01,13
1257481127685383,2015-01-01,32
1257481127685383,2015-02-01,41
1257481127685383,2015-03-01,39
1257481127685383,2015-04-01,14
1257481127685383,2015-05-01,14
1257481127685383,2015-06-01,9
1257481127685383,2015-07-01,9
1257481127685383,2015-08-01,8
1257481127685383,2015-09-01,15
1257481127685383,2015-10-01,10
1257481127685383,2015-11-01,18
1257481127685383,2015-12-01,13
1257481127685383,2016-01-01,31
1257481127685383,2016-02-01,12
1257481127685383,2016-03-01,17
1257481127685383,2016-04-01,27
1257481127685383,2016-05-01,19
1257481127685383,2016-06-01,19
1257481127685383,2016-07-01,23
1257481127685383,2016-08-01,41
1257481127685383,2016-09-01,35
1257481127685383,2016-10-01,34
1257481127685383,2016-11-01,43
1257481127685383,2016-12-01,61
1257481127685383,2017-01-01,88
1257481127685383,2017-02-01,138
1257481127685383,2017-03-01,14
1257481127685383,2017-04-01,37
1257481127685383,2017-05-01,53
1257481127685383,2017-06-01,41
1257481127685383,2017-07-01,7
1257481127685383,2017-08-01,6
1257481127685383,2017-11-01,17
