id_usuario,data,quantLikes
10214421550670970,2011-07-30,1
10214421550670970,2011-08-01,1
10214421550670970,2011-08-09,1
10214421550670970,2011-08-12,1
10214421550670970,2011-08-25,1
10214421550670970,2011-08-26,1
10214421550670970,2011-08-27,1
10214421550670970,2011-08-28,8
10214421550670970,2011-08-29,2
10214421550670970,2011-08-30,2
10214421550670970,2011-09-09,1
10214421550670970,2011-09-12,1
10214421550670970,2011-09-22,1
10214421550670970,2011-09-25,1
10214421550670970,2011-10-03,1
10214421550670970,2011-10-07,1
10214421550670970,2011-10-12,1
10214421550670970,2011-10-13,2
10214421550670970,2011-10-22,1
10214421550670970,2011-10-24,1
10214421550670970,2011-10-28,1
10214421550670970,2011-11-01,1
10214421550670970,2011-11-10,1
10214421550670970,2011-11-14,1
10214421550670970,2011-11-20,1
10214421550670970,2011-11-25,1
10214421550670970,2011-11-28,1
10214421550670970,2011-12-03,1
10214421550670970,2011-12-05,1
10214421550670970,2011-12-08,1
10214421550670970,2011-12-24,1
10214421550670970,2012-01-16,1
10214421550670970,2012-02-28,1
10214421550670970,2012-03-03,1
10214421550670970,2012-03-12,1
10214421550670970,2012-03-18,2
10214421550670970,2012-03-22,1
10214421550670970,2012-03-23,1
10214421550670970,2012-03-26,2
10214421550670970,2012-03-31,1
10214421550670970,2012-04-01,1
10214421550670970,2012-04-02,1
10214421550670970,2012-04-08,1
10214421550670970,2012-04-10,3
10214421550670970,2012-04-13,1
10214421550670970,2012-04-15,1
10214421550670970,2012-04-18,1
10214421550670970,2012-04-21,1
10214421550670970,2012-04-23,3
10214421550670970,2012-04-25,1
10214421550670970,2012-04-26,1
10214421550670970,2012-05-25,1
10214421550670970,2012-07-11,1
10214421550670970,2012-07-20,1
10214421550670970,2012-07-29,2
10214421550670970,2012-07-31,1
10214421550670970,2012-08-11,2
10214421550670970,2012-09-01,5
10214421550670970,2012-09-02,2
10214421550670970,2012-09-03,1
10214421550670970,2012-09-06,4
10214421550670970,2012-09-07,1
10214421550670970,2012-09-08,2
10214421550670970,2012-09-09,3
10214421550670970,2012-09-21,1
10214421550670970,2012-09-22,2
10214421550670970,2012-09-23,1
10214421550670970,2012-09-24,12
10214421550670970,2012-09-27,1
10214421550670970,2012-09-29,3
10214421550670970,2012-09-30,3
10214421550670970,2012-10-01,3
10214421550670970,2012-10-02,3
10214421550670970,2012-10-04,7
10214421550670970,2012-10-05,6
10214421550670970,2012-10-07,1
10214421550670970,2012-10-08,7
10214421550670970,2012-10-09,5
10214421550670970,2012-10-10,8
10214421550670970,2012-10-11,1
10214421550670970,2012-10-12,1
10214421550670970,2012-10-13,11
10214421550670970,2012-10-14,18
10214421550670970,2012-10-15,27
10214421550670970,2012-10-16,20
10214421550670970,2012-10-17,14
10214421550670970,2012-10-18,9
10214421550670970,2012-10-19,20
10214421550670970,2012-10-20,11
10214421550670970,2012-10-21,2
10214421550670970,2012-10-22,6
10214421550670970,2012-10-23,10
10214421550670970,2012-10-24,8
10214421550670970,2012-10-25,5
10214421550670970,2012-10-26,2
10214421550670970,2012-10-27,3
10214421550670970,2012-10-28,9
10214421550670970,2012-11-10,1
10214421550670970,2012-11-29,1
10214421550670970,2012-12-18,1
10214421550670970,2012-12-27,1
10214421550670970,2013-02-09,2
10214421550670970,2013-02-11,2
10214421550670970,2013-02-13,1
10214421550670970,2013-02-14,1
10214421550670970,2013-02-18,3
10214421550670970,2013-02-19,1
10214421550670970,2013-02-20,2
10214421550670970,2013-02-21,1
10214421550670970,2013-02-24,3
10214421550670970,2013-03-02,1
10214421550670970,2013-03-03,1
10214421550670970,2013-03-17,2
10214421550670970,2013-03-19,1
10214421550670970,2013-03-22,1
10214421550670970,2013-03-24,1
10214421550670970,2013-03-28,1
10214421550670970,2013-03-29,3
10214421550670970,2013-03-30,2
10214421550670970,2013-03-31,2
