_id,id_usuario,likeCreatedTime,data,mes,semana,quantLikes
5a1db29f4dc8810020182711,741112402763818,2017-11-26 19:48:55,2017-11-26,2017-11,2017-11-20/2017-11-26,1
5a1db29f4dc8810020182712,741112402763818,2017-11-22 19:07:00,2017-11-22,2017-11,2017-11-20/2017-11-26,1
5a1db29f4dc8810020182713,741112402763818,2017-11-21 00:00:26,2017-11-21,2017-11,2017-11-20/2017-11-26,1
5a1db29f4dc8810020182714,741112402763818,2017-11-17 14:04:07,2017-11-17,2017-11,2017-11-13/2017-11-19,1
5a1db29f4dc8810020182715,741112402763818,2017-11-14 11:18:58,2017-11-14,2017-11,2017-11-13/2017-11-19,1
5a1db29f4dc8810020182716,741112402763818,2017-11-11 10:35:52,2017-11-11,2017-11,2017-11-06/2017-11-12,1
5a1db29f4dc8810020182717,741112402763818,2017-11-11 10:18:26,2017-11-11,2017-11,2017-11-06/2017-11-12,1
5a1db29f4dc8810020182718,741112402763818,2017-11-07 11:43:22,2017-11-07,2017-11,2017-11-06/2017-11-12,1
5a1db29f4dc8810020182719,741112402763818,2017-11-01 17:47:57,2017-11-01,2017-11,2017-10-30/2017-11-05,1
5a1db29f4dc881002018271a,741112402763818,2017-10-31 20:53:38,2017-10-31,2017-10,2017-10-30/2017-11-05,1
5a1db29f4dc881002018271b,741112402763818,2017-10-31 16:02:49,2017-10-31,2017-10,2017-10-30/2017-11-05,1
5a1db29f4dc881002018271c,741112402763818,2017-10-30 23:57:31,2017-10-30,2017-10,2017-10-30/2017-11-05,1
5a1db29f4dc881002018271d,741112402763818,2017-10-30 13:50:04,2017-10-30,2017-10,2017-10-30/2017-11-05,1
5a1db29f4dc881002018271e,741112402763818,2017-10-27 18:49:57,2017-10-27,2017-10,2017-10-23/2017-10-29,1
5a1db29f4dc881002018271f,741112402763818,2017-10-18 11:45:47,2017-10-18,2017-10,2017-10-16/2017-10-22,1
5a1db29f4dc8810020182720,741112402763818,2017-10-10 14:04:07,2017-10-10,2017-10,2017-10-09/2017-10-15,1
5a1db29f4dc8810020182721,741112402763818,2017-10-10 13:52:52,2017-10-10,2017-10,2017-10-09/2017-10-15,1
5a1db29f4dc8810020182722,741112402763818,2017-10-09 10:04:47,2017-10-09,2017-10,2017-10-09/2017-10-15,1
5a1db29f4dc8810020182723,741112402763818,2017-10-07 20:40:00,2017-10-07,2017-10,2017-10-02/2017-10-08,1
5a1db29f4dc8810020182724,741112402763818,2017-09-25 13:13:22,2017-09-25,2017-09,2017-09-25/2017-10-01,1
5a1db29f4dc8810020182725,741112402763818,2017-09-22 10:25:01,2017-09-22,2017-09,2017-09-18/2017-09-24,1
5a1db29f4dc8810020182726,741112402763818,2017-09-20 16:20:36,2017-09-20,2017-09,2017-09-18/2017-09-24,1
5a1db29f4dc8810020182727,741112402763818,2017-09-19 15:03:54,2017-09-19,2017-09,2017-09-18/2017-09-24,1
5a1db29f4dc8810020182728,741112402763818,2017-08-24 15:38:14,2017-08-24,2017-08,2017-08-21/2017-08-27,1
5a1db29f4dc8810020182729,741112402763818,2017-08-18 19:05:32,2017-08-18,2017-08,2017-08-14/2017-08-20,1
5a1db29f4dc881002018272a,741112402763818,2017-08-18 18:36:55,2017-08-18,2017-08,2017-08-14/2017-08-20,1
5a1db29f4dc881002018272b,741112402763818,2017-08-18 18:36:36,2017-08-18,2017-08,2017-08-14/2017-08-20,1
5a1db29f4dc881002018272c,741112402763818,2017-08-17 11:51:11,2017-08-17,2017-08,2017-08-14/2017-08-20,1
5a1db29f4dc881002018272d,741112402763818,2017-08-04 20:48:13,2017-08-04,2017-08,2017-07-31/2017-08-06,1
5a1db29f4dc881002018272e,741112402763818,2017-08-01 14:34:02,2017-08-01,2017-08,2017-07-31/2017-08-06,1
5a1db29f4dc881002018272f,741112402763818,2017-08-01 10:15:54,2017-08-01,2017-08,2017-07-31/2017-08-06,1
5a1db29f4dc8810020182730,741112402763818,2017-07-28 23:06:41,2017-07-28,2017-07,2017-07-24/2017-07-30,1
5a1db29f4dc8810020182731,741112402763818,2017-07-27 16:49:34,2017-07-27,2017-07,2017-07-24/2017-07-30,1
5a1db29f4dc8810020182732,741112402763818,2017-07-25 19:02:06,2017-07-25,2017-07,2017-07-24/2017-07-30,1
5a1db29f4dc8810020182733,741112402763818,2017-07-18 11:34:26,2017-07-18,2017-07,2017-07-17/2017-07-23,1
5a1db29f4dc8810020182734,741112402763818,2017-07-17 16:20:46,2017-07-17,2017-07,2017-07-17/2017-07-23,1
5a1db29f4dc8810020182735,741112402763818,2017-07-14 18:17:29,2017-07-14,2017-07,2017-07-10/2017-07-16,1
5a1db29f4dc8810020182736,741112402763818,2017-07-13 17:00:22,2017-07-13,2017-07,2017-07-10/2017-07-16,1
5a1db29f4dc8810020182737,741112402763818,2017-07-10 19:57:35,2017-07-10,2017-07,2017-07-10/2017-07-16,1
5a1db29f4dc8810020182738,741112402763818,2017-07-06 11:17:11,2017-07-06,2017-07,2017-07-03/2017-07-09,1
5a1db29f4dc8810020182739,741112402763818,2017-07-05 21:15:29,2017-07-05,2017-07,2017-07-03/2017-07-09,1
5a1db29f4dc881002018273a,741112402763818,2017-07-04 14:56:35,2017-07-04,2017-07,2017-07-03/2017-07-09,1
