id_usuario,data,num_posts
10214421550670970,2017-06-01,4
10214421550670970,2017-06-02,3
10214421550670970,2017-06-03,1
10214421550670970,2017-06-04,5
10214421550670970,2017-06-05,1
10214421550670970,2017-06-06,4
10214421550670970,2017-06-07,4
10214421550670970,2017-06-08,2
10214421550670970,2017-06-09,4
10214421550670970,2017-06-10,4
10214421550670970,2017-06-11,8
10214421550670970,2017-06-12,3
10214421550670970,2017-06-13,2
10214421550670970,2017-06-14,1
10214421550670970,2017-06-15,4
10214421550670970,2017-06-16,2
10214421550670970,2017-06-17,5
10214421550670970,2017-06-18,1
10214421550670970,2017-06-20,1
10214421550670970,2017-06-21,2
10214421550670970,2017-06-22,1
10214421550670970,2017-06-23,2
10214421550670970,2017-06-24,2
10214421550670970,2017-06-25,1
10214421550670970,2017-06-26,11
10214421550670970,2017-06-27,1
10214421550670970,2017-06-28,3
10214421550670970,2017-06-29,2
10214421550670970,2017-06-30,2
10214421550670970,2017-07-01,5
10214421550670970,2017-07-02,1
10214421550670970,2017-07-03,5
10214421550670970,2017-07-04,1
10214421550670970,2017-07-05,2
10214421550670970,2017-07-06,4
10214421550670970,2017-07-07,6
10214421550670970,2017-07-08,2
10214421550670970,2017-07-09,14
10214421550670970,2017-07-10,7
10214421550670970,2017-07-11,3
10214421550670970,2017-07-12,2
10214421550670970,2017-07-13,1
10214421550670970,2017-07-14,4
10214421550670970,2017-07-15,3
10214421550670970,2017-07-16,5
10214421550670970,2017-07-17,4
10214421550670970,2017-07-18,1
10214421550670970,2017-07-19,3
10214421550670970,2017-07-20,4
10214421550670970,2017-07-21,5
10214421550670970,2017-07-22,4
10214421550670970,2017-07-23,1
10214421550670970,2017-07-24,1
10214421550670970,2017-07-25,2
10214421550670970,2017-07-27,4
10214421550670970,2017-07-28,2
10214421550670970,2017-07-29,1
10214421550670970,2017-07-30,2
10214421550670970,2017-07-31,1
10214421550670970,2017-08-01,1
10214421550670970,2017-08-03,2
10214421550670970,2017-08-04,3
10214421550670970,2017-08-05,2
10214421550670970,2017-08-06,1
10214421550670970,2017-08-07,4
10214421550670970,2017-08-08,1
10214421550670970,2017-08-09,1
10214421550670970,2017-08-11,1
10214421550670970,2017-08-12,3
10214421550670970,2017-08-13,1
10214421550670970,2017-08-14,2
10214421550670970,2017-08-15,2
10214421550670970,2017-08-16,1
10214421550670970,2017-08-17,5
10214421550670970,2017-08-18,1
10214421550670970,2017-08-19,1
10214421550670970,2017-08-20,1
10214421550670970,2017-08-21,1
10214421550670970,2017-08-22,4
10214421550670970,2017-08-23,2
10214421550670970,2017-08-24,6
10214421550670970,2017-08-25,2
10214421550670970,2017-08-26,5
10214421550670970,2017-08-27,6
10214421550670970,2017-08-28,9
10214421550670970,2017-08-29,5
10214421550670970,2017-08-30,3
