id_usuario,trend,h,p-valor,z,Tau,s,var_s,slope,intercept
2069736153313031,increasing,True,0.0,10.600245434735195,0.6574562028201111,4616.0,189544.66666666666,0.026086956521739153,1.9275362318840576
1505262262895441,decreasing,True,9.999685398165425e-05,-3.8905995198726058,-0.2856361149110807,-1044.0,71868.0,-0.03037037037037038,6.807407407407409
523889937966576,decreasing,True,0.0,-10.980682012032117,-0.5986412108703131,-6961.0,401753.6666666667,-0.009946236559139775,3.9225806451612897
1976561949250115,no trend,False,0.24700986314761741,1.1576427321900784,0.07600070534297303,431.0,137971.0,0.002941176470588225,2.9607843137254903
1426808120769057,increasing,True,2.9944540085313776e-06,4.671199861554333,0.2530372852953498,3020.0,417704.6666666667,0.011524822695035472,3.46258865248227
932900373523932,decreasing,True,3.870392895066743e-10,-6.259167001077888,-0.3253493013972056,-4564.0,531456.6666666666,-0.0036694915254237258,3.489735875706215
337226220074570,decreasing,True,0.0022904889110728632,-3.0497277536594147,-0.2008984725965858,-1118.0,134148.0,-0.006830601092896165,4.125273224043715
575912899414794,no trend,False,0.7450886748959702,0.3251220848155224,0.0196225471816023,157.0,230227.0,0.00042735042735042583,3.056410256410256
1486348074805772,decreasing,True,0.0,-9.871729813622823,-0.5531609195402298,-5775.0,342111.0,-0.008576051779935269,3.2008090614886733
1502378776518622,no trend,False,0.8014937957702226,-0.25141432215626913,-0.015460482473677196,-116.0,209226.0,-0.00047619047619044914,3.3957142857142846
301517977003767,decreasing,True,9.180666724617481e-07,-4.908433672988727,-0.3141891891891892,-1953.0,158151.66666666666,-0.01904761904761903,6.007142857142855
1232495143519028,decreasing,True,0.0,-9.86975353340447,-0.5759174054539333,-5132.0,270266.0,-0.020392156862745092,4.622745098039216
2041925969376769,decreasing,True,4.218847493575595e-15,-7.849253793361763,-0.45978582820688085,-4036.0,264259.3333333333,-0.013541666666666678,4.093750000000002
1033110380164779,decreasing,True,0.005318769992349592,-2.787065666494419,-0.1752623688155922,-1169.0,175627.0,-0.010000000000000014,3.958333333333334
2000049206898919,increasing,True,1.9340085088970227e-13,7.35329312471712,0.41355866355866355,4258.0,335153.3333333333,0.010274547803617565,2.5820364987080113
855386091334664,decreasing,True,1.3273937504720834e-10,-6.423999773890989,-0.37346600331674956,-3378.0,276344.6666666667,-0.010793650793650807,4.106507936507939
1474155432682501,decreasing,True,0.0,-13.561809802275766,-0.8166349206349206,-6431.0,224795.0,-0.025833333333333326,3.406250000000001
1942377509357721,no trend,False,0.7041897103646684,-0.3796709182409001,-0.024336283185840708,-154.0,162393.33333333334,-0.00035477053140095755,2.4698671497584543
