_id,id_usuario,likeCreatedTime,data,mes,semana
5a0273cce58afe001ec5a64c,872507229580251,2017-11-08 02:43:02,2017-11-08,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a64d,872507229580251,2017-11-08 02:23:46,2017-11-08,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a64e,872507229580251,2017-11-08 02:22:55,2017-11-08,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a64f,872507229580251,2017-11-07 17:07:40,2017-11-07,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a650,872507229580251,2017-11-07 04:56:36,2017-11-07,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a651,872507229580251,2017-11-07 04:39:03,2017-11-07,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a652,872507229580251,2017-11-06 13:36:03,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a653,872507229580251,2017-11-06 13:34:47,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a654,872507229580251,2017-11-06 13:34:45,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a655,872507229580251,2017-11-06 13:34:42,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a656,872507229580251,2017-11-06 13:34:40,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a657,872507229580251,2017-11-06 13:01:06,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a658,872507229580251,2017-11-06 03:27:26,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a659,872507229580251,2017-11-05 17:31:22,2017-11-05,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65a,872507229580251,2017-11-05 16:20:38,2017-11-05,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65b,872507229580251,2017-11-05 04:41:02,2017-11-05,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65c,872507229580251,2017-11-04 22:27:37,2017-11-04,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65d,872507229580251,2017-11-03 00:06:29,2017-11-03,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65e,872507229580251,2017-11-02 13:07:10,2017-11-02,2017-11,2017-10-30/2017-11-05
