_id,id_usuario,likeCreatedTime,data,mes,semana
593a0b9efff947001dcf8f49,1870214326566563,2017-06-08 22:11:14,2017-06-08,2017-06,2017-06-05/2017-06-11
593a0b9efff947001dcf8f4a,1870214326566563,2017-06-03 19:32:27,2017-06-03,2017-06,2017-05-29/2017-06-04
593a0b9efff947001dcf8f4b,1870214326566563,2017-05-31 23:19:00,2017-05-31,2017-05,2017-05-29/2017-06-04
593a0b9efff947001dcf8f4c,1870214326566563,2017-05-18 00:41:22,2017-05-18,2017-05,2017-05-15/2017-05-21
593a0b9efff947001dcf8f4d,1870214326566563,2017-05-10 23:03:26,2017-05-10,2017-05,2017-05-08/2017-05-14
5a0273cce58afe001ec5a64c,872507229580251,2017-11-08 02:43:02,2017-11-08,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a64d,872507229580251,2017-11-08 02:23:46,2017-11-08,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a64e,872507229580251,2017-11-08 02:22:55,2017-11-08,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a64f,872507229580251,2017-11-07 17:07:40,2017-11-07,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a650,872507229580251,2017-11-07 04:56:36,2017-11-07,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a651,872507229580251,2017-11-07 04:39:03,2017-11-07,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a652,872507229580251,2017-11-06 13:36:03,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a653,872507229580251,2017-11-06 13:34:47,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a654,872507229580251,2017-11-06 13:34:45,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a655,872507229580251,2017-11-06 13:34:42,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a656,872507229580251,2017-11-06 13:34:40,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a657,872507229580251,2017-11-06 13:01:06,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a658,872507229580251,2017-11-06 03:27:26,2017-11-06,2017-11,2017-11-06/2017-11-12
5a0273cce58afe001ec5a659,872507229580251,2017-11-05 17:31:22,2017-11-05,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65a,872507229580251,2017-11-05 16:20:38,2017-11-05,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65b,872507229580251,2017-11-05 04:41:02,2017-11-05,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65c,872507229580251,2017-11-04 22:27:37,2017-11-04,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65d,872507229580251,2017-11-03 00:06:29,2017-11-03,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65e,872507229580251,2017-11-02 13:07:10,2017-11-02,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a65f,872507229580251,2017-11-02 11:57:56,2017-11-02,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a660,872507229580251,2017-11-02 11:46:55,2017-11-02,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a661,872507229580251,2017-11-01 17:15:31,2017-11-01,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a662,872507229580251,2017-11-01 17:15:30,2017-11-01,2017-11,2017-10-30/2017-11-05
5a0273cce58afe001ec5a663,872507229580251,2017-10-30 02:06:32,2017-10-30,2017-10,2017-10-30/2017-11-05
5a0273cce58afe001ec5a664,872507229580251,2017-10-28 01:16:11,2017-10-28,2017-10,2017-10-23/2017-10-29
5a0273cce58afe001ec5a665,872507229580251,2017-10-26 18:19:50,2017-10-26,2017-10,2017-10-23/2017-10-29
5a0273cce58afe001ec5a666,872507229580251,2017-10-26 02:36:37,2017-10-26,2017-10,2017-10-23/2017-10-29
5a0273cce58afe001ec5a667,872507229580251,2017-10-25 20:11:52,2017-10-25,2017-10,2017-10-23/2017-10-29
5a0273cce58afe001ec5a668,872507229580251,2017-10-25 03:11:39,2017-10-25,2017-10,2017-10-23/2017-10-29
